Proposer,Reg Action,Site Name,Area (sq mi),Hard (%),Mixed (%),Soft (%),Canyon & Gully (%),Coral & Sponge (% blocks),OF Spp Highest 20% (%),Conserv Val (Mean),Conserv Val (variance)
Collaborative,close,MBNMS West of Sobranes Point,24.21033557,0,0,100,19.0330968,0,0,0.423599213,0.090929834
Collaborative,close,Mendocino Ridge Modification 1,12.04522799,98.03909965,0,1.960900266,0,0,49.3584766,0.493914457,0.098309553
Collaborative,close,Mendocino Ridge Modification 3,9.581956973,0.01572192,0,99.98427808,0,0,4.388210315,0.609136128,0.123634072
Collaborative,close,Navarro Canyon,18.34328883,0,0,100,0,0,0,0.378379843,0.099364111
Collaborative,close,Nitinat Canyon,82.03119171,0,0,100,88.84622533,0,0,0.391978719,0.085720293
Collaborative,close,Pescadero Reef,3.08731567,47.41900395,0,52.58099626,0,0,0,0.381575562,0.054399574
Collaborative,close,Pigeon Point Reef,9.748247651,14.55959932,0,85.44040075,0,0,0,0.598017962,0.11941587
Collaborative,close,Point Arena South Modification 2,5.863564568,0,0,100,0,0,0,0.492948235,0.067957706
Collaborative,close,Point Arena South Modification 3,6.331050311,0.495972115,0,99.50402769,0,0,39.25967553,0.58467479,0.134670148
Collaborative,close,Point Reyes Reef,7.590340847,33.83967225,5.291992114,60.86833567,0,0,0,0.55176132,0.132542991
Collaborative,close,Rittenburg Bank,10.30085218,11.08194521,0,88.9180548,0,13.33333333,25.72851277,0.568171469,0.127252322
Collaborative,close,Rogue River Reef,63.41288449,16.18555476,0,83.81444524,0,0,20.31858816,0.530715372,0.115316914
Collaborative,close,Saint George Reef,0.913362897,23.20343759,0,76.79656201,0,0,0,0.536996274,0.100235055
Collaborative,close,Spanish Canyon Line Adjustment 2,5.072226601,0,0,100,0,0,0,0.38196409,0.108509
Collaborative,close,The Football,2.16942488,0,0,100,0,9.090909091,26.32812413,0.579979573,0.13653586
Collaborative,close,Trinidad Canyon,87.88301754,0,0,100,22.46728211,0,0,0.473540341,0.128474551
Collaborative,close,Willapa Deep,62.8617621,0,0,100,93.41963174,0,0,0.325287396,0.070961384
Collaborative,close,WIllapa Shelf,8.481959375,0.19603992,0,99.80396006,0,0,89.59281902,0.572422558,0.106001813
GFNMS,close,Cochrane Bank,6.18599211,55.69341739,0,44.3065824,0,16.12903226,0,0.567914479,0.11735713
GFNMS,close,Farallon Escarpment,47.17624018,0,0,100,5.32192499,1.25,0,0.507898165,0.10788525
GFNMS,close,Rittenburg Bank,17.20252879,6.934546978,0,93.06545277,0,9.230769231,26.13732644,0.548206209,0.134317301
Greenpeace,close,Ascension and Ano Nuevo Canyons,186.2271325,7.300968349,0,92.69903164,29.94489044,7.875457875,0,0.556644948,0.062215057
Greenpeace,close,Astoria and Willapa Canyon Complex,1208.87123,1.127094891,0,98.87290513,48.22755645,0.241911098,18.47971483,0.475892694,0.067042787
Greenpeace,close,Delgada Canyon Complex,699.8590153,0.215258793,0,99.78474121,42.48849217,0.307377049,0.386377304,0.49353637,0.072519584
Greenpeace,close,Eel River Canyon,552.8873199,1.841588578,0,98.15841141,24.68954049,0.503144654,6.453590419,0.466469222,0.05605342
Greenpeace,close,Heceta Bank Canyon Complex,1726.544716,12.39362511,6.656247357,80.95014902,0.264251127,0.188600168,11.43274764,0.481366282,0.075600956
Greenpeace,close,Lopez to La Cruz Canyon Complex,334.1408584,3.785530554,0,96.21446941,9.569764263,0.201409869,0,0.495326109,0.088309079
Greenpeace,close,Pioneer Canyon and Farallon Escarpment,723.275359,0.653183732,0,99.34681627,11.83116774,0.8382643,1.814338068,0.473890837,0.079461819
Greenpeace,close,Quinault Canyon,47.3676489,0,0,100,50.34810599,0,0,0.388601643,0.085644907
Greenpeace,close,Rogue Canyon,417.5977831,2.761336497,0,97.2386635,41.81403372,0,17.06361683,0.461734772,0.074515329
MBNMS,close,Ascension and Ano Nuevo canyon complex,19.53581862,27.68493922,0,72.31506077,72.43946722,8.571428571,0,0.545569092,0.114197334
MBNMS,close,Between Partington Point and Lopez Point,73.82069626,0,0,100,27.36427041,0.900900901,0,0.458190822,0.097906698
MBNMS,close,La Cruz Canyon,8.897228345,82.81534751,0,17.18465242,0,0,0,0.552482969,0.098861128
MBNMS,close,Outer Soquel Canyon,6.205106032,35.93108456,0,64.06891509,20.60122076,62.96296296,0,0.544882754,0.075891238
MBNMS,close,Point Sur Platform,10.66042154,74.41195594,0,25.58804406,0,20.45454545,0,0.61009943,0.080970073
MBNMS,close,South of Davenport,6.253572594,52.93270393,0,47.06729621,0,61.76470588,0,0.581153314,0.112599451
MBNMS,close,SW of Smooth Ridge,6.12913983,0,0,100,0,3.03030303,0,0.275718447,0.102826969
MBNMS,close,Triangle S of Surveyors Knoll,9.349687872,8.951757333,0,91.04824267,0,0,0,0.466950927,0.136081658
MBNMS,close,W of Sobranes Point,24.21033557,0,0,100,19.0330968,0,0,0.423599213,0.090929834
MBNMS,close,West of Piedras Blancas SMCA,2.713184084,2.045307699,0,97.95469231,0,0,0,0.592205851,0.096713609
MCI,close,Astoria Canyon,337.9261416,0,0,100,81.36051943,0.475737393,25.73278151,0.494470598,0.085890441
MCI,close,Bandon High Spot West,41.14183128,0,0,99.99999991,0,0,0,0.440096521,0.087050213
MCI,close,Cordell Bank Western Edge,36.44250473,5.322807576,0,94.67719254,0,5.882352941,0,0.462151092,0.062290923
MCI,close,Cortes Bank Complex,609.4525608,29.86722373,2.216203544,67.91657273,0.988370951,4.55873758,0,0.401791757,0.086071162
MCI,close,Delgada Canyon,99.91291578,0,0,100,62.5048423,0.911854103,0.424640801,0.484627735,0.078737314
MCI,close,Eel River Canyon,85.01821075,0.001782782,0,99.99821722,53.14883817,0,3.075216623,0.46511511,0.051495735
MCI,close,Guide Seamount,29.40541954,67.18009724,0,32.81990272,0,3.157894737,0,0.157080445,0.026268489
MCI,close,Gulf of Farallones Western Edge,256.7787863,0,0,100,6.103360479,0.536193029,0,0.422796599,0.061957323
MCI,close,Gumdrop and Pioneer Seamounts,71.95368285,80.13117054,0,19.86882935,5.059866941,8.333333333,0,0.209055884,0.045009706
MCI,close,Haceta Bank West,117.6433099,1.432578877,5.524569969,93.04285115,3.580741803,0.273972603,1.72110194,0.453838046,0.075475726
MCI,close,Inner Farallones,82.72705792,2.32368695,0.009059289,97.66725376,0,2.255639098,6.377319579,0.57675756,0.134422919
MCI,close,McArthur Canyon,78.36653958,0,22.65584354,77.34415518,0,0.392156863,5.891560966,0.489086895,0.076320758
MCI,close,McArthur Escapement,61.10953167,0,0,100,0,0.995024876,0,0.461092818,0.096968351
MCI,close,Mendocino Ridge,981.9172637,0,0,0,0,0.072966071,0,0,0
MCI,close,Monterey Bay North,207.2719192,5.058870253,0,94.94112975,37.83240079,12.28878648,0,0.492278155,0.06303475
MCI,close,Noyo Canyon,65.00622194,1.105881194,0,98.89411881,42.87118937,1.52284264,0,0.50478882,0.071511387
MCI,close,Olympic NW Corner,124.2384265,0,0,100,92.9786909,0,5.584718628,0.393525043,0.059141288
MCI,close,Olympic SW Corner,0.677602997,0,0,100,99.99999637,0,0,0.362516234,0.150817297
MCI,close,Pioneer Canyon,90.49637903,0,0,100,47.22284278,0.35971223,0,0.462332166,0.086997069
MCI,close,Point Arena West,75.5202268,0,0,100,0,0,0,0.459146635,0.068061686
MCI,close,Pt Mugu,89.03646153,18.1041809,0,81.89195134,15.16829724,2.325581395,0,0.516173388,0.078807091
MCI,close,Richardson Rock,24.4228051,0,0,100,0,2.5,0,0.534353402,0.093125593
MCI,close,Rogue Canyon,190.0934671,0.377741748,0,99.62225829,52.37883716,0,18.51061531,0.457360149,0.072557879
MCI,close,San Juan Seamount,145.5824358,100,0,0,0,3.416856492,0,0.05516556,0.003279161
MCI,close,Trinidad Canyon,60.36666015,0,0,100,5.04535915,0,23.16798689,0.48686579,0.069704845
None,close,Begg Ridge,734.0592281,3.692870311,3.091238381,93.21589121,0.974306714,3.311567164,0,0.555709437,0.095933267
None,close,Coronado Shelf,211.8281819,0.017086968,0,98.0062271,5.431835539,5.431309904,0,0.443435733,0.082223052
None,close,Daisy Bank Northern Modification,5.3129046,0,64.68090957,35.31909158,0,0,14.71364405,0.569912856,0.084846087
None,close,Daisy Bank Southern Modification,0.661122851,0,97.46345841,2.536542882,11.98272343,12.5,0,0.555476109,0.090821144
None,close,Eastern San Clemente Ridge,327.7968352,18.59812147,0,77.70490514,1.462016271,1.025641026,0,0.472648585,0.096283608
None,close,Garibaldi Reef North,14.81615418,47.52635661,3.207342684,49.26630083,0,5.357142857,0,0.575370322,0.112348234
None,close,Garibaldi Reef South,7.770424082,5.883222988,3.533604989,90.58317181,0,5.128205128,0,0.567528515,0.089909247
None,close,Heceta Bank Modification,145.2302424,59.9337011,18.15609266,21.91046156,0,0.383877159,33.48664251,0.527938713,0.105596874
None,close,Northern Channel Islands,821.9523057,11.32887496,0.010404509,88.5223244,3.111062594,1.110260337,0,0.542967007,0.084669285
None,close,Outer Bank,428.5605338,40.54202297,0,59.45797699,0.184939755,0.082712986,0,0.467998255,0.116954252
None,close,San Clemente Ridge,189.2056239,2.719618125,0,97.28038177,1.54688446,2.218700475,0,0.544878657,0.094651027
None,close,Santa Barbara Plateau,288.8003902,8.791994544,0.690674522,90.51733096,8.575116968,2.404371585,0,0.53020804,0.097766678
None,close,Shale Pile East Side,0.509894218,89.31184623,0,10.68815732,0,0,0,0.510786937,0.133698909
None,close,Sixty-Mile Bank,98.03202991,0,0,93.06503786,0,0.675675676,6.27523846,0.287569447,0.061586461
None,close,Stonewall Bank Northern Modification,6.653415513,89.21581892,0,10.78418158,0,0,1.478309825,0.533437065,0.104194949
None,close,Stonewall Bank Western Modification,14.39859291,21.47084517,0,78.52915454,0,0,22.0622688,0.572886077,0.108074213
None,close,Tanner and Cortes Banks,1250.442739,14.85594608,1.080154159,84.06389976,0.833766717,2.384456874,0,0.357293822,0.08767329
None,close,Western Line Adjustment,132.5743426,18.57383367,0,81.42616617,0,0,0,0.321215481,0.069739313
Oceana-NRDC-OC,close,Ano Nuevo Canyonhead,1.668635271,2.492463685,0,97.50753654,90.96263313,27.27272727,0,0.537899946,0.078181342
Oceana-NRDC-OC,close,Ascension Canyonhead,4.10830694,3.046304087,0,96.95369607,84.51291303,29.16666667,0,0.561336624,0.085802671
Oceana-NRDC-OC,close,Astoria Canyonhead,18.21909342,0,0,100,79.13368827,0,65.9548274,0.530226962,0.090996613
Oceana-NRDC-OC,close,Astoria Footprint Modification,379.1315894,0,0,100,45.838027,0.173460538,0,0.435714014,0.087535269
Oceana-NRDC-OC,close,Blunt Reef Expansion,9.273123003,30.3716104,0,69.62838987,18.21041224,0,0,0.586230873,0.070596658
Oceana-NRDC-OC,close,Cabrillo Canyon,30.90904961,1.82366012,0,98.17633988,45.26947446,0.8,0,0.29322816,0.072322258
Oceana-NRDC-OC,close,Cape Arago Reef,127.2589959,8.728555341,70.73538821,20.53605646,0,1.866666667,1.886725497,0.545877843,0.129940124
Oceana-NRDC-OC,close,Cascadia Shelf Hotspot,152.2832371,0,0,100,0,0,39.99989212,0.531145717,0.08097838
Oceana-NRDC-OC,close,Cochrane Bank,9.096764053,38.81927303,0,61.180727,0,10.86956522,0,0.560698275,0.109454254
Oceana-NRDC-OC,close,Cordell Bank Expansion,71.24430204,7.844067443,0.635840092,91.52009233,0,3.260869565,5.665477376,0.544266911,0.097365537
Oceana-NRDC-OC,close,Crescent City Deepwater Hotspot,51.59081077,0,0,100.0000001,18.33494349,0,0,0.431329897,0.10824535
Oceana-NRDC-OC,close,Delgada Canyon Deep,69.34622858,0,0,100,55.6639237,0,0,0.402890516,0.10762631
Oceana-NRDC-OC,close,East Santa Lucia Bank (Northwest Expansion),113.6569228,41.91494972,0,58.08505057,0,0,0,0.448736426,0.141201926
Oceana-NRDC-OC,close,East Santa Lucia Bank (Southeast Expansion),57.32651888,28.89436386,0,71.10563671,0,0,0,0.431241223,0.131618735
Oceana-NRDC-OC,close,Eureka Footprint Modification,157.0600522,0,0,99.99999997,26.49573285,0,0,0.458932802,0.121474749
Oceana-NRDC-OC,close,Fanny Shoals Shelf Extension,26.77039464,2.782452479,0.027995417,97.18955206,0,0,0,0.580561288,0.136300464
Oceana-NRDC-OC,close,Farallon Escarpment to Pioneer Canyon Deep,173.1142212,0,0,100,12.92977047,0.549450549,0,0.460312007,0.093732024
Oceana-NRDC-OC,close,Gobbler's Knob,18.04554248,0,60.56569168,39.4343085,2.793606101,0,0,0.513041513,0.130743568
Oceana-NRDC-OC,close,Grays Canyon,19.7012971,2.531687209,0,97.4683128,0,0,53.62172172,0.596011047,0.087358198
Oceana-NRDC-OC,close,Heceta Bank,328.6158101,46.61644635,5.075305909,48.30825528,0,0.1001001,38.57703536,0.534671722,0.105153735
Oceana-NRDC-OC,close,Heceta Bank West,68.2120532,14.61101887,32.20397026,53.18551836,0.001197797,0.862068966,14.83288475,0.491088833,0.081205679
Oceana-NRDC-OC,close,Hydrate Ridge/ Central OR Footrpint Modification,197.4349926,3.797451897,0,96.20254798,0,0.655737705,0,0.427907359,0.097342109
Oceana-NRDC-OC,close,La Cruz Canyon to Piedras Blancas,36.67687942,21.66035181,0,78.33964824,0,0,0,0.579280854,0.086762383
Oceana-NRDC-OC,close,MBNMS Ascension and Ano Nuevo Canyon Complex / ONO Lower portion of Ascension and Ano Nuevo canyons,19.53581862,27.68493922,0,72.31506077,72.43946722,8.571428571,0,0.545569092,0.114197334
Oceana-NRDC-OC,close,MBNMS Between Partington Point and Lopez Point,73.82069626,0,0,100,27.36427041,0.900900901,0,0.458190822,0.097906698
Oceana-NRDC-OC,close,MBNMS Outer Soquel Canyon,6.205106032,35.93108456,0,64.06891509,20.60122076,62.96296296,0,0.544882754,0.075891238
Oceana-NRDC-OC,close,MBNMS Point Sur Platform / ONO Sur Platform Rocks,10.66042154,74.41195594,0,25.58804406,0,20.45454545,0,0.61009943,0.080970073
Oceana-NRDC-OC,close,MBNMS South of Davenport,6.253572594,52.93270393,0,47.06729621,0,61.76470588,0,0.581153314,0.112599451
Oceana-NRDC-OC,close,MBNMS SW of Smooth Ridge,6.12913983,0,0,100,0,3.03030303,0,0.275718447,0.102826969
Oceana-NRDC-OC,close,MBNMS Triangle S of Surveyors Knoll,9.349687872,8.951757333,0,91.04824267,0,0,0,0.466950927,0.136081658
Oceana-NRDC-OC,close,MBNMS W of Sobranes Point,24.21033557,0,0,100,19.0330968,0,0,0.423599213,0.090929834
Oceana-NRDC-OC,close,Mendocino Ridge Expansion,77.51286041,62.10580822,0,37.89419182,0,0,13.43059614,0.443924582,0.104714601
Oceana-NRDC-OC,close,N. Daisy Bank,18.60912423,0,39.00001024,60.99999012,0,0,4.357416366,0.552781931,0.083934265
Oceana-NRDC-OC,close,N. Eel River Canyon,22.93695238,0,0,100,41.47789241,2.06185567,6.799811841,0.467068877,0.074995397
Oceana-NRDC-OC,close,N. Stonewall Bank,57.81660267,41.60496788,0,58.39503206,0,0.497512438,0.382212028,0.56723086,0.102729892
Oceana-NRDC-OC,close,Navarro Canyon,24.61231276,0,0,100,0,0,0,0.395852682,0.105693109
Oceana-NRDC-OC,close,Noyo Canyonhead,6.129744973,7.932294518,0,92.06770555,81.04000258,10.71428571,0,0.568800178,0.068529072
Oceana-NRDC-OC,close,Olympic Footprint Modification,97.49065948,0,0,100,83.90322586,0,0,0.388602959,0.083792566
Oceana-NRDC-OC,close,Pescadero Reef,7.093457455,20.19287586,0,79.807123,0,0,0,0.59111057,0.121195324
Oceana-NRDC-OC,close,Pioneer Canyon,13.21381041,0,0,100,80.59330293,1.923076923,0,0.439827864,0.110764112
Oceana-NRDC-OC,close,Pioneer Canyonhead,13.57379336,0,0,100,0,0,0,0.589681682,0.111946641
Oceana-NRDC-OC,close,Pt Arena Biogenic South Expansion,7.05688449,0.44495902,0,99.5550408,0,0,42.55023457,0.583273678,0.131850691
Oceana-NRDC-OC,close,Pt. Arena Canyonheads,6.406819109,0,0,100,13.5078413,0,0.891439298,0.53973821,0.088598931
Oceana-NRDC-OC,close,Pt. Arguello,89.64399387,0,0,100,0.122500697,0.727272727,0,0.562115538,0.102283966
Oceana-NRDC-OC,close,Pt. Buchon,49.38055394,2.147567808,0.808940048,97.04349218,0,0,0,0.581633255,0.085932607
Oceana-NRDC-OC,close,Quinault Canyon,45.26506727,0,0,100,51.18930307,0,0,0.38800228,0.086406353
Oceana-NRDC-OC,close,Reading Rock Canyonheads,29.38704618,0,0,100,22.52266326,0,87.50178547,0.594628425,0.10703188
Oceana-NRDC-OC,close,Rittenberg Bank,17.20169769,6.935474208,0,93.0645257,0,9.230769231,26.13092464,0.548209511,0.134319408
Oceana-NRDC-OC,close,Rogue Canyonhead,26.43650894,39.53598872,0,60.46401123,19.18793444,0,1.056187396,0.495656675,0.107804528
Oceana-NRDC-OC,close,Russian River,20.38515143,0,0,100,0,1.369863014,18.68983832,0.55988807,0.126118057
Oceana-NRDC-OC,close,S. Eel River Canyon,18.12963178,0,0,100,51.42831908,0,38.11006323,0.580465074,0.063552682
Oceana-NRDC-OC,close,S. Nehalem Reef,104.2689872,26.736841,3.196170275,70.0669889,0,1.582278481,16.42116984,0.606221475,0.103763529
Oceana-NRDC-OC,close,S. Oregon Footrpint Modifcation,128.5977982,0,0,99.9955721,13.3363562,0,0,0.439748407,0.104684984
Oceana-NRDC-OC,close,Samoa Deepwater,101.255313,7.19661545,0,92.8033847,5.339351323,1.910828025,0,0.435877804,0.095735525
Oceana-NRDC-OC,close,Samoa Reef,16.33371928,13.99574044,0,86.00425948,14.19506105,3.225806452,38.49113579,0.484769691,0.114369428
Oceana-NRDC-OC,close,Saunders Reef,33.45144889,0,0,100,0,0,7.128338072,0.611412248,0.135720287
Oceana-NRDC-OC,close,Siletz Hotspot,58.96518931,0.018638828,29.84578823,70.13557291,0,0,18.0838124,0.484746894,0.083828619
Oceana-NRDC-OC,close,South Delgada Canyonheads,13.58749776,0,0,100,36.10328364,0,0,0.557799871,0.081137556
Oceana-NRDC-OC,close,Southern CA Bight,16242.78084,5.256501016,0.235687028,94.22500938,2.13898751,0.649932251,0.03787371,0.434382324,0.089564036
Oceana-NRDC-OC,close,Spanish Canyon,27.95043368,0.005389782,0,99.99461022,9.31504355,0,10.62958062,0.56908312,0.094107824
Oceana-NRDC-OC,close,Willapa Canyonhead,44.18981527,12.77618423,0,87.22381567,12.88466994,0,90.24255019,0.544772225,0.07675234
Priority Habitats in RCA,close,hco-013,123.4072804,0.680263818,0,99.31973609,26.48010569,0,91.31991057,0.560316335,0.092449068
Priority Habitats in RCA,close,hcio-002,114.5553142,0.601935842,0.370389689,99.02767446,19.50942753,0.491400491,95.16579188,0.571847137,0.06570577
Priority Habitats in RCA,close,o-004,50.14532342,0,0,100,0,0,92.73189211,0.497981575,0.106523164
Priority Habitats in RCA,close,ho-005,100.588758,0.000232116,0,99.99976785,0,0,89.85015982,0.505238256,0.094582779
Priority Habitats in RCA,close,hcio-011,76.16667455,0.318143955,0,99.68185592,21.12126135,0.367647059,82.33605008,0.496087348,0.086501007
Priority Habitats in RCA,close,o-012,27.05770375,0,0,100.0000003,0,0,96.74539447,0.504923919,0.08959163
Priority Habitats in RCA,close,co-016,2.927491142,0,0,100.0000003,64.16449935,0,24.62976393,0.570912278,0.07168711
Priority Habitats in RCA,close,o-017,3.139835579,0,0,99.99999934,0,0,72.91534025,0.572997205,0.098139255
Priority Habitats in RCA,close,hci-026,3.682649104,9.038190637,0,90.96180704,28.10120319,9.677419355,0,0.576391826,0.103964881
Priority Habitats in RCA,close,c-025,1.155805575,0,0,100,99.03551006,0,0,0.556885128,0.076567283
Priority Habitats in RCA,close,c-024,1.325956108,0,0,100,98.93672743,0,0,0.545103517,0.081965494
Priority Habitats in RCA,close,co-027,0.971887816,0,0,100,86.34435475,0,5.876492744,0.54056432,0.080381932
Priority Habitats in RCA,close,io-029,31.57105082,0,0,100,0,0,62.02458307,0.550825636,0.127770394
Priority Habitats in RCA,close,o-028,4.316804405,0,0,99.9999995,0,0,96.02478537,0.581145183,0.140696291
Priority Habitats in RCA,close,hci-030,4.562964879,6.178038961,0,93.82196112,3.723537601,60,0,0.567158309,0.067289654
Priority Habitats in RCA,close,h-031,7.523945603,67.39764493,0,32.60235502,0,0,0,0.557302838,0.097091809
Priority Habitats in RCA,close,hc-032,36.73802808,29.05245862,0,70.94754143,10.22015048,0,0,0.559136144,0.083831056
Priority Habitats in RCA,close,hi-033,187.420404,23.0869316,0,76.91306859,0,1.607142857,0,0.588592114,0.086883077
Priority Habitats in RCA,close,ci-039,23.53667815,0,0,95.64572247,15.95211809,22.35294118,0,0.497254093,0.088302262
Priority Habitats in RCA,close,ho-040,20.40611038,1.678292443,0,98.32170758,0,0,95.42779489,0.49411418,0.102949646
Priority Habitats in RCA,close,hio-003,350.4969958,0.002141426,0,99.99785859,0,0,98.33390411,0.562447046,0.080622019
Priority Habitats in RCA,close,hci-034,15.60658047,24.41433959,0,75.58566059,12.53847012,1.449275362,0,0.544171074,0.089875518
Priority Habitats in RCA,close,hco-001,82.64031362,0.130246652,0,99.86975323,20.31449179,0,95.88118105,0.559288359,0.067028073
Priority Habitats in RCA,close,cio-014,8.455139056,0,0,100.000001,9.618546032,2.222222222,99.49519722,0.554098107,0.086063069
Priority Habitats in RCA,close,co-015,19.23863064,0,0,100.0000003,33.12152864,0,69.81951177,0.550625894,0.079050505
Priority Habitats in RCA,close,hci-035,13.6450371,11.24633965,0,88.7536613,22.87430542,0,0,0.583856926,0.100336922
Priority Habitats in RCA,close,ci-036,1.972418849,0,0,100,85.47357572,0,0,0.538170713,0.080699692
Priority Habitats in RCA,close,c-037,3.629819997,0,0,100,84.45209212,0,0,0.549608286,0.082066062
Priority Habitats in RCA,close,hci-038,5.308319816,1.725643827,0,98.27436174,73.09330816,5.128205128,0,0.548001574,0.095233059
Priority Habitats in RCA,close,c-020,0.317617131,0,0,100,32.19871875,0,0,0.542964277,0.073605262
Priority Habitats in RCA,close,c-023,1.282097598,0,0,100,99.99999931,0,0,0.569333714,0.071719729
Priority Habitats in RCA,close,ho-009,1.598835424,3.464817277,0,96.53518571,0,0,46.29407549,0.467087321,0.10825828
Priority Habitats in RCA,close,ho-008,1.737184547,0.007075643,0,99.992923,0,0,60.1921855,0.511112698,0.079364114
Priority Habitats in RCA,close,ho-006,0.872649946,0.167220865,0,99.83278093,0,0,95.65292864,0.433128007,0.107784627
Priority Habitats in RCA,close,co-018,0.430629361,0,0,100,100.0000021,0,1.380594423,0.505330301,0.089261679
Priority Habitats in RCA,close,hco-019,0.391195347,0.04349739,0,99.95650256,79.20730365,0,70.27738452,0.541179921,0.084500392
